,Country,Year,Month,Value (million baht)
3073,CHINA,2017,1,76734.43039199992
3074,CHINA,2017,2,80034.076396
3075,CHINA,2017,3,95387.45300399994
3076,CHINA,2017,4,73386.958959
3077,CHINA,2017,5,80502.31571900005
3078,CHINA,2017,6,76220.40647500004
3079,CHINA,2017,7,77630.80825800009
3080,CHINA,2017,8,89645.15026699995
3081,CHINA,2017,9,83614.1619409999
3082,CHINA,2017,10,85189.30503899993
3083,CHINA,2017,11,93688.87790099997
3084,CHINA,2017,12,85948.79870700015
3085,CHINA,2018,1,78654.56614500008
3086,CHINA,2018,2,74701.297707
3087,CHINA,2018,3,83735.20127499994
3088,CHINA,2018,4,79941.84604099994
3089,CHINA,2018,5,84360.35168500022
3090,CHINA,2018,6,79382.23933899996
3091,CHINA,2018,7,77228.452223
3092,CHINA,2018,8,91261.05010500015
3093,CHINA,2018,9,72457.04057099998
3094,CHINA,2018,10,86099.23508499993
3095,CHINA,2018,11,83837.64816399982
3096,CHINA,2018,12,79778.05641699987
3097,CHINA,2019,1,64941.32050299998
3098,CHINA,2019,2,72010.95974099994
3099,CHINA,2019,3,74623.51744800016
3100,CHINA,2019,4,76876.36044299998
3101,CHINA,2019,5,79690.366295
3102,CHINA,2019,6,67028.40578500014
3103,CHINA,2019,7,78066.87396800007
3104,CHINA,2019,8,81909.68747300004
3105,CHINA,2019,9,71895.34383399996
3106,CHINA,2019,10,77424.65837799988
3107,CHINA,2019,11,79452.52490499995
3108,CHINA,2019,12,78268.12914800017
3109,CHINA,2020,1,63728.973697
3110,CHINA,2020,2,68152.83042799994
3111,CHINA,2020,3,71325.08832299996
3112,CHINA,2020,4,86443.32490400011
3113,CHINA,2020,5,93745.14883599993
3114,CHINA,2020,6,75161.92221300001
3115,CHINA,2020,7,75807.434316
3116,CHINA,2020,8,80963.99606099995
3117,CHINA,2020,9,78228.29864599986
3118,CHINA,2020,10,74568.33761000002
3119,CHINA,2020,11,74411.04797300021
3120,CHINA,2020,12,84110.39271299995
3121,CHINA,2021,1,68979.85726100006
3122,CHINA,2021,2,77141.72041899996
3123,CHINA,2021,3,92231.16342100006
3124,CHINA,2021,4,99776.070269
3125,CHINA,2021,5,113208.53441000012
3126,CHINA,2021,6,105557.82001200016
3127,CHINA,2021,7,108509.5352060001
3128,CHINA,2021,8,110967.31984299971
3129,CHINA,2021,9,102559.181217
3130,CHINA,2021,10,90663.47516300007
3131,CHINA,2021,11,99160.60878599994
3132,CHINA,2021,12,105006.33857800001
3133,CHINA,2022,1,82407.13239399978
3134,CHINA,2022,2,87591.55109099997
3135,CHINA,2022,3,102403.81515600006
3136,CHINA,2022,4,100343.981714
3137,CHINA,2022,5,126878.84484700013
3138,CHINA,2022,6,112899.13244100001
3139,CHINA,2022,7,97053.37081199992
3140,CHINA,2022,8,100202.64095500007
3141,CHINA,2022,9,96202.9239600001
3142,CHINA,2022,10,92486.70799600011
3143,CHINA,2022,11,101914.53125199988
3144,CHINA,2022,12,91490.66830700013
3145,CHINA,2023,1,75662.52721099989
3146,CHINA,2023,2,80168.33539700016
3147,CHINA,2023,3,105030.20477999991
3148,CHINA,2023,4,126029.9311830002
3149,CHINA,2023,5,98173.15679499986
3150,CHINA,2023,6,118027.8521319999
