,Country,Year,Month,Value (million baht)
7539,JAPAN,2017,1,56977.92499799989
7540,JAPAN,2017,2,58681.16128500004
7541,JAPAN,2017,3,67265.73900600006
7542,JAPAN,2017,4,50508.21987099999
7543,JAPAN,2017,5,68098.07242300006
7544,JAPAN,2017,6,67839.418183
7545,JAPAN,2017,7,57530.598288000074
7546,JAPAN,2017,8,63015.28659700014
7547,JAPAN,2017,9,63668.97866299994
7548,JAPAN,2017,10,61796.29031399994
7549,JAPAN,2017,11,72054.83384100007
7550,JAPAN,2017,12,59082.74155500009
7551,JAPAN,2018,1,65614.12940799996
7552,JAPAN,2018,2,76261.6730779999
7553,JAPAN,2018,3,64585.649872999995
7554,JAPAN,2018,4,52608.85708300003
7555,JAPAN,2018,5,69084.70188899995
7556,JAPAN,2018,6,67935.70126900001
7557,JAPAN,2018,7,61809.152525999925
7558,JAPAN,2018,8,71664.21837399995
7559,JAPAN,2018,9,63130.247425999936
7560,JAPAN,2018,10,71838.42755200012
7561,JAPAN,2018,11,73847.66766100003
7562,JAPAN,2018,12,60962.3620619999
7563,JAPAN,2019,1,66101.72641000009
7564,JAPAN,2019,2,67906.98466199996
7565,JAPAN,2019,3,68645.70114800007
7566,JAPAN,2019,4,53384.890401000004
7567,JAPAN,2019,5,66910.83291100003
7568,JAPAN,2019,6,66056.52420399994
7569,JAPAN,2019,7,63616.28282699997
7570,JAPAN,2019,8,65301.243464
7571,JAPAN,2019,9,60415.71922899998
7572,JAPAN,2019,10,67599.79536799983
7573,JAPAN,2019,11,60507.83764599995
7574,JAPAN,2019,12,53339.58947499998
7575,JAPAN,2020,1,59413.44450899989
7576,JAPAN,2020,2,57403.646174999994
7577,JAPAN,2020,3,66762.59769099996
7578,JAPAN,2020,4,60564.801940000005
7579,JAPAN,2020,5,51702.593872000034
7580,JAPAN,2020,6,51879.59572099993
7581,JAPAN,2020,7,52142.74306799987
7582,JAPAN,2020,8,54536.801959000106
7583,JAPAN,2020,9,60280.26475600003
7584,JAPAN,2020,10,65446.620968000025
7585,JAPAN,2020,11,65722.878468
7586,JAPAN,2020,12,61416.09479799993
7587,JAPAN,2021,1,62954.289760999905
7588,JAPAN,2021,2,60733.251352999876
7589,JAPAN,2021,3,66815.44280299993
7590,JAPAN,2021,4,58850.09421000001
7591,JAPAN,2021,5,63435.180477999995
7592,JAPAN,2021,6,67564.0192800001
7593,JAPAN,2021,7,65032.13511300002
7594,JAPAN,2021,8,62137.152869000056
7595,JAPAN,2021,9,72448.12870600005
7596,JAPAN,2021,10,68254.57377699994
7597,JAPAN,2021,11,70282.420029
7598,JAPAN,2021,12,67699.35257500013
7599,JAPAN,2022,1,70378.22263699998
7600,JAPAN,2022,2,68755.71344900006
7601,JAPAN,2022,3,72847.550441
7602,JAPAN,2022,4,63686.21370099998
7603,JAPAN,2022,5,72766.74156099993
7604,JAPAN,2022,6,71821.03801300014
7605,JAPAN,2022,7,69237.96133899996
7606,JAPAN,2022,8,74103.62388899997
7607,JAPAN,2022,9,76855.65976399987
7608,JAPAN,2022,10,73495.4197209999
7609,JAPAN,2022,11,76756.79013799988
7610,JAPAN,2022,12,64225.646786999954
7611,JAPAN,2023,1,66240.86053399998
7612,JAPAN,2023,2,66667.95117500008
7613,JAPAN,2023,3,85521.85408600004
7614,JAPAN,2023,4,59723.53153600002
7615,JAPAN,2023,5,72805.68707300002
7616,JAPAN,2023,6,73724.44652399998
