,Country,Year,Month,Value (million baht)
111111,UNITED STATES,2013,1,55047.92992
111111,UNITED STATES,2013,2,53002.82192
111111,UNITED STATES,2013,3,56302.37474
111111,UNITED STATES,2013,4,51619.42046
111111,UNITED STATES,2013,5,57396.67286
111111,UNITED STATES,2013,6,54647.27664
111111,UNITED STATES,2013,7,59490.40656
111111,UNITED STATES,2013,8,61476.97541
111111,UNITED STATES,2013,9,61258.87227
111111,UNITED STATES,2013,10,64819.17486
111111,UNITED STATES,2013,11,61630.76763
111111,UNITED STATES,2013,12,57635.4767
111111,UNITED STATES,2014,1,58711.98566
111111,UNITED STATES,2014,2,57189.38902
111111,UNITED STATES,2014,3,63489.47346
111111,UNITED STATES,2014,4,57259.43781
111111,UNITED STATES,2014,5,66188.25075
111111,UNITED STATES,2014,6,66349.05073
111111,UNITED STATES,2014,7,65357.29334
111111,UNITED STATES,2014,8,63187.8388
111111,UNITED STATES,2014,9,65682.50006
111111,UNITED STATES,2014,10,70944.4396
111111,UNITED STATES,2014,11,65809.81374
111111,UNITED STATES,2014,12,67662.92234
111111,UNITED STATES,2015,1,62926.91564
111111,UNITED STATES,2015,2,59716.2952
111111,UNITED STATES,2015,3,67269.78045
111111,UNITED STATES,2015,4,62855.00643
111111,UNITED STATES,2015,5,66747.94429
111111,UNITED STATES,2015,6,68178.03827
111111,UNITED STATES,2015,7,68751.55566
111111,UNITED STATES,2015,8,66842.80419
111111,UNITED STATES,2015,9,74136.81556
111111,UNITED STATES,2015,10,77828.93379
111111,UNITED STATES,2015,11,67367.37525
111111,UNITED STATES,2015,12,68724.82025
111111,UNITED STATES,2016,1,63237.55725
111111,UNITED STATES,2016,2,66558.65967
111111,UNITED STATES,2016,3,72524.33971
111111,UNITED STATES,2016,4,62725.7209
111111,UNITED STATES,2016,5,74617.13643
111111,UNITED STATES,2016,6,76110.73075
111111,UNITED STATES,2016,7,71916.94122
111111,UNITED STATES,2016,8,77858.78746
111111,UNITED STATES,2016,9,76820.77283
111111,UNITED STATES,2016,10,71948.72757
111111,UNITED STATES,2016,11,73705.28798
111111,UNITED STATES,2016,12,70366.8879
111111,UNITED STATES,2017,1,68853.77509
111111,UNITED STATES,2017,2,68675.96086
111111,UNITED STATES,2017,3,76539.8789
111111,UNITED STATES,2017,4,64600.34771
111111,UNITED STATES,2017,5,79923.6239
111111,UNITED STATES,2017,6,79531.80252
111111,UNITED STATES,2017,7,77402.98614
111111,UNITED STATES,2017,8,80388.95667
111111,UNITED STATES,2017,9,78076.32752
111111,UNITED STATES,2017,10,76019.98841
111111,UNITED STATES,2017,11,77168.2266
111111,UNITED STATES,2017,12,71641.42704
111111,UNITED STATES,2018,1,69839.93935
111111,UNITED STATES,2018,2,64938.58718
111111,UNITED STATES,2018,3,76149.22583
111111,UNITED STATES,2018,4,63420.216
111111,UNITED STATES,2018,5,75696.9496
111111,UNITED STATES,2018,6,79591.71826
111111,UNITED STATES,2018,7,73091.94036
111111,UNITED STATES,2018,8,80526.94308
111111,UNITED STATES,2018,9,78186.21222
111111,UNITED STATES,2018,10,80043.62986
111111,UNITED STATES,2018,11,85251.71258
111111,UNITED STATES,2018,12,72417.06533
111111,UNITED STATES,2019,1,75539.15565
111111,UNITED STATES,2019,2,127525.7766
111111,UNITED STATES,2019,3,74204.13874
111111,UNITED STATES,2019,4,67424.05404
111111,UNITED STATES,2019,5,82973.73803
111111,UNITED STATES,2019,6,77260.41277
111111,UNITED STATES,2019,7,76423.63548
111111,UNITED STATES,2019,8,78612.65238
111111,UNITED STATES,2019,9,78781.21225
111111,UNITED STATES,2019,10,78693.75655
111111,UNITED STATES,2019,11,76900.88069
111111,UNITED STATES,2019,12,76900.10648
111111,UNITED STATES,2020,1,76679.9868
111111,UNITED STATES,2020,2,77312.31973
111111,UNITED STATES,2020,3,106189.5076
111111,UNITED STATES,2020,4,93567.01794
111111,UNITED STATES,2020,5,70074.66402
111111,UNITED STATES,2020,6,88623.24461
111111,UNITED STATES,2020,7,89919.56867
111111,UNITED STATES,2020,8,93044.06231
111111,UNITED STATES,2020,9,96298.93339
111111,UNITED STATES,2020,10,94192.737
111111,UNITED STATES,2020,11,92021.89557
111111,UNITED STATES,2020,12,89159.65792
111111,UNITED STATES,2021,1,87693.82105
111111,UNITED STATES,2021,2,91133.61365
111111,UNITED STATES,2021,3,108917.9602
111111,UNITED STATES,2021,4,96442.92818
111111,UNITED STATES,2021,5,97716.49558
111111,UNITED STATES,2021,6,123095.8304
111111,UNITED STATES,2021,7,111809.7996
111111,UNITED STATES,2021,8,112047.5327
111111,UNITED STATES,2021,9,122980.4514
111111,UNITED STATES,2021,10,116641.4443
111111,UNITED STATES,2021,11,118991.2631
111111,UNITED STATES,2021,12,133886.9726
111111,UNITED STATES,2022,1,119042.7369
111111,UNITED STATES,2022,2,127882.3682
111111,UNITED STATES,2022,3,142000.8601
111111,UNITED STATES,2022,4,119040.3091
111111,UNITED STATES,2022,5,136302.4538
111111,UNITED STATES,2022,6,151213.7404
111111,UNITED STATES,2022,7,131405.6725
111111,UNITED STATES,2022,8,145894.7702
111111,UNITED STATES,2022,9,167494.4844
111111,UNITED STATES,2022,10,129042.2407
111111,UNITED STATES,2022,11,137928.3257
111111,UNITED STATES,2022,12,141462.2504
111111,UNITED STATES,2023,1,117680.4101
111111,UNITED STATES,2023,2,115024.1483
111111,UNITED STATES,2023,3,154131.7302
111111,UNITED STATES,2023,4,109708.6639
111111,UNITED STATES,2023,5,144550.6368
111111,UNITED STATES,2023,6,144031.6512
