,Country,Year,Month,Value (million baht)
16133,UNITED STATES,2017,1,68853.77509399994
16134,UNITED STATES,2017,2,68675.96085900009
16135,UNITED STATES,2017,3,76539.87890399991
16136,UNITED STATES,2017,4,64600.34771300004
16137,UNITED STATES,2017,5,79923.623901
16138,UNITED STATES,2017,6,79531.80252300003
16139,UNITED STATES,2017,7,77402.98614200002
16140,UNITED STATES,2017,8,80388.95666799997
16141,UNITED STATES,2017,9,78076.32751599984
16142,UNITED STATES,2017,10,76019.98840699995
16143,UNITED STATES,2017,11,77168.22659899994
16144,UNITED STATES,2017,12,71641.42704299996
16145,UNITED STATES,2018,1,69839.93934799997
16146,UNITED STATES,2018,2,64938.58717700006
16147,UNITED STATES,2018,3,76149.22582799988
16148,UNITED STATES,2018,4,63420.216003999965
16149,UNITED STATES,2018,5,75696.949596
16150,UNITED STATES,2018,6,79591.71826199998
16151,UNITED STATES,2018,7,73091.94035499998
16152,UNITED STATES,2018,8,80526.94307800003
16153,UNITED STATES,2018,9,78186.21222100004
16154,UNITED STATES,2018,10,80043.62985900001
16155,UNITED STATES,2018,11,85251.71258300013
16156,UNITED STATES,2018,12,72417.06532500006
16157,UNITED STATES,2019,1,75539.15564900011
16158,UNITED STATES,2019,2,127525.77662800008
16159,UNITED STATES,2019,3,74204.13873599996
16160,UNITED STATES,2019,4,67424.05404100001
16161,UNITED STATES,2019,5,82973.73802599993
16162,UNITED STATES,2019,6,77260.41276599998
16163,UNITED STATES,2019,7,76423.6354829999
16164,UNITED STATES,2019,8,78612.65238400004
16165,UNITED STATES,2019,9,78781.21224999992
16166,UNITED STATES,2019,10,78693.756549
16167,UNITED STATES,2019,11,76900.88068800006
16168,UNITED STATES,2019,12,76900.10647599997
16169,UNITED STATES,2020,1,76679.98679600007
16170,UNITED STATES,2020,2,77312.31973300019
16171,UNITED STATES,2020,3,106189.50755700009
16172,UNITED STATES,2020,4,93567.01794100006
16173,UNITED STATES,2020,5,70074.66402400009
16174,UNITED STATES,2020,6,88623.24461099996
16175,UNITED STATES,2020,7,89919.56866799992
16176,UNITED STATES,2020,8,93044.06231100005
16177,UNITED STATES,2020,9,96298.93339300007
16178,UNITED STATES,2020,10,94192.73700300003
16179,UNITED STATES,2020,11,92021.89556499996
16180,UNITED STATES,2020,12,89159.65792299998
16181,UNITED STATES,2021,1,87693.82104800004
16182,UNITED STATES,2021,2,91133.61364800004
16183,UNITED STATES,2021,3,108917.96019499982
16184,UNITED STATES,2021,4,96442.92818300004
16185,UNITED STATES,2021,5,97716.49558200006
16186,UNITED STATES,2021,6,123095.83043199978
16187,UNITED STATES,2021,7,111809.79955699998
16188,UNITED STATES,2021,8,112047.53274299996
16189,UNITED STATES,2021,9,122980.45144599983
16190,UNITED STATES,2021,10,116641.44428299993
16191,UNITED STATES,2021,11,118991.26311400002
16192,UNITED STATES,2021,12,133886.97262199988
16193,UNITED STATES,2022,1,119042.73687199998
16194,UNITED STATES,2022,2,127882.36824699986
16195,UNITED STATES,2022,3,142000.86014400018
16196,UNITED STATES,2022,4,119040.30905199994
16197,UNITED STATES,2022,5,136302.45382899992
16198,UNITED STATES,2022,6,151213.74044400023
16199,UNITED STATES,2022,7,131405.67248399998
16200,UNITED STATES,2022,8,145894.77024399993
16201,UNITED STATES,2022,9,167494.4844310001
16202,UNITED STATES,2022,10,129042.24066299987
16203,UNITED STATES,2022,11,137928.3256860001
16204,UNITED STATES,2022,12,141462.25038499996
16205,UNITED STATES,2023,1,117680.41009599998
16206,UNITED STATES,2023,2,115024.14833
16207,UNITED STATES,2023,3,154131.73022499992
16208,UNITED STATES,2023,4,109708.66392099991
16209,UNITED STATES,2023,5,144550.6368180002
16210,UNITED STATES,2023,6,144031.651159
